dataset_key,dataset,repeat,seed,metric,ranking,selected_candidate
synth1,synth(1%),1,43,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),1,43,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),1,43,F1_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),1,43,AUPRC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),1,43,AUROC,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth1,synth(1%),1,43,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth1,synth(1%),1,43,MCC_05,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0
synth1,synth(1%),2,44,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth1,synth(1%),2,44,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth1,synth(1%),2,44,F1_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth1,synth(1%),2,44,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth1,synth(1%),2,44,AUROC,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth1,synth(1%),2,44,Brier_neg,hgb_d6>logreg_C10.0>logreg_C1.0>hgb_d3>logreg_C0.1,hgb_d6
synth1,synth(1%),2,44,MCC_05,logreg_C0.1>logreg_C1.0>logreg_C10.0>hgb_d6>hgb_d3,logreg_C0.1
synth1,synth(1%),3,45,SoftMCC,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth1,synth(1%),3,45,MCC_best,logreg_C1.0>hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0,logreg_C1.0
synth1,synth(1%),3,45,F1_best,logreg_C1.0>hgb_d3>hgb_d6>logreg_C0.1>logreg_C10.0,logreg_C1.0
synth1,synth(1%),3,45,AUPRC,hgb_d3>logreg_C1.0>hgb_d6>logreg_C10.0>logreg_C0.1,hgb_d3
synth1,synth(1%),3,45,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),3,45,Brier_neg,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth1,synth(1%),3,45,MCC_05,logreg_C0.1>logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6,logreg_C0.1
synth1,synth(1%),4,46,SoftMCC,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
